codigo,nombre,temperatura,luminosidad,saturacion,familia_visual,estilos_recomendados,ambientes_recomendados,combina_con,contrasta_con,descripcion_tecnica,nivel_luminosidad,nivel_saturacion,sensacion_visual
50YY 83/200,Acacia,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
37YY 39/443,Aceite de Mostaza,Cálido,4,5,Terracota,Contemporáneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (4/10) y saturación media (5/10) que equilibra el espacio.,Bajo,Media,Suave;Cálido;Acogedor;Natural
53YY 26/275,Alga Verde,Cálido,3,4,Terracota,Dramático,Living,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (3/10) y saturación baja (4/10) que genera profundidad.,Bajo,Baja,Profundo;Cálido;Acogedor;Natural
60YY 78/216,Almendra Blanca,Cálido,8,7,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
50YY 80/455,Amarillo Arco Iris Claro,Cálido,8,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
52YY 72/661,Amarillo Arco Iris Vivo,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 64/787,Amarillo Cítrico,Cálido,7,10,Terracota,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
50YY 75/254,Amarillo de Mayo,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 83/187,Amarillo Delicado,Cálido,8,7,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 66/512,Amarillo Esencial,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
