codigo,nombre,hex,rgb,familia,subfamilia,url,imagen,temperatura,luminosidad,saturacion,nivel_luminosidad,nivel_saturacion,familia_visual,estilos_recomendados,ambientes_oficiales,ambientes_recomendados,combina_con,contrasta_con,sensacion_visual,descripcion_tecnica,descripcion_alba,superficies,texto_conocimiento
50YY 83/200,Acacia,#F6E4BD,"246,228,189",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/acacia-50yy-83-200-1672405,imagenes/50YY83200.jpg,Cálido,8,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 50YY 83/200 — Acacia. HEX #F6E4BD, RGB 246,228,189. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual."
37YY 39/443,Aceite de Mostaza,#C39E4B,"195,158,75",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/aceite-de-mostaza-37yy-39-443-3137067,imagenes/37YY39443.jpg,Cálido,4,5,Bajo,Media,Terracota,Contemporáneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Suave;Cálido;Acogedor;Natural,Terracota cálido de luminosidad bajo (4/10) y saturación media (5/10) que equilibra el espacio.,,,"Color Alba 37YY 39/443 — Aceite de Mostaza. HEX #C39E4B, RGB 195,158,75. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Bajo (4/10); saturación Media (5/10). Familia visual: Terracota. Sensación: Suave, Cálido, Acogedor, Natural. Estilos: Contemporáneo. Ambientes Alba: Living, Dormitorio, Comedor, Cocina, Baño, Pasillo, Home office, Cuarto de niños. Ambientes recomendados: Living, Dormitorio, Comedor, Cocina, Baño, Pasillo, Home office, Cuarto de niños. Combina con: Blanco, Madera clara, Beige, Blanco roto. Contrasta con: Blanco, Crema, Azul profundo. Terracota cálido de luminosidad bajo (4/10) y saturación media (5/10) que equilibra el espacio."
53YY 26/275,Alga Verde,#968550,"150,133,80",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/alga-verde-53yy-26-275-1672428,imagenes/53YY26275.jpg,Cálido,3,4,Bajo,Baja,Terracota,Dramático,,Living,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Profundo;Cálido;Acogedor;Natural,Terracota cálido de luminosidad bajo (3/10) y saturación baja (4/10) que genera profundidad.,,,"Color Alba 53YY 26/275 — Alga Verde. HEX #968550, RGB 150,133,80. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Bajo (3/10); saturación Baja (4/10). Familia visual: Terracota. Sensación: Profundo, Cálido, Acogedor, Natural. Estilos: Dramático. Ambientes recomendados: Living. Combina con: Blanco, Madera clara, Beige, Blanco roto. Contrasta con: Blanco, Crema, Azul profundo. Terracota cálido de luminosidad bajo (3/10) y saturación baja (4/10) que genera profundidad."
60YY 78/216,Almendra Blanca,#F0E2B7,"240,226,183",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/almendra-blanca-60yy-78-216-1672539,imagenes/60YY78216.jpg,Cálido,8,7,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,,,"Color Alba 60YY 78/216 — Almendra Blanca. HEX #F0E2B7, RGB 240,226,183. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (7/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual."
50YY 80/455,Amarillo Arco Iris Claro,#FFE087,"255,224,135",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-arco-iris-claro-50yy-80-455-1672398,imagenes/50YY80455.jpg,Cálido,8,10,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 50YY 80/455 — Amarillo Arco Iris Claro. HEX #FFE087, RGB 255,224,135. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Muy Alta (10/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual."
52YY 72/661,Amarillo Arco Iris Vivo,#FDD84F,"253,216,79",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-arco-iris-vivo-52yy-72-661-1672422,imagenes/52YY72661.jpg,Cálido,7,10,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 52YY 72/661 — Amarillo Arco Iris Vivo. HEX #FDD84F, RGB 253,216,79. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (10/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual."
45YY 64/787,Amarillo Cítrico,#FACA22,"250,202,34",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-citrico-45yy-64-787-1672090,imagenes/45YY64787.jpg,Cálido,7,10,Alto,Muy Alta,Terracota,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 45YY 64/787 — Amarillo Cítrico. HEX #FACA22, RGB 250,202,34. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (10/10). Familia visual: Terracota. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual."
50YY 75/254,Amarillo de Mayo,#F2DCAA,"242,220,170",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-de-mayo-50yy-75-254-1672393,imagenes/50YY75254.jpg,Cálido,8,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 50YY 75/254 — Amarillo de Mayo. HEX #F2DCAA, RGB 242,220,170. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual."
60YY 83/187,Amarillo Delicado,#F4E6C0,"244,230,192",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-delicado-60yy-83-187-1672546,imagenes/60YY83187.jpg,Cálido,8,7,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,,,"Color Alba 60YY 83/187 — Amarillo Delicado. HEX #F4E6C0, RGB 244,230,192. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (7/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual."
45YY 66/512,Amarillo Esencial,#F6CF6C,"246,207,108",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-esencial-45yy-66-512-1672094,imagenes/45YY66512.jpg,Cálido,7,9,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,,,"Color Alba 45YY 66/512 — Amarillo Esencial. HEX #F6CF6C, RGB 246,207,108. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (9/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual."
